"last_name, first_name",player_id,year,player_age,ab,home_run,k_percent,r_total_stolen_base,b_game,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,sprint_speed
"Bohm, Alec",664761,2025,28,195,4,16.8,1,49,0.285,0.432,0.305,0.335,0.327,0.147,90.9,37.7,7.4,48.1,26.8
"Peña, Jeremy",665161,2025,27,200,6,15.1,6,52,0.291,0.425,0.351,0.346,0.36,0.135,88.4,30.2,6.5,40.2,29.6
"Cruz, Oneil",665833,2025,26,161,11,31.6,18,45,0.26,0.549,0.367,0.404,0.389,0.289,97.2,38.6,25.7,62.4,28.8
"Bichette, Bo",666182,2025,27,222,4,16.8,4,51,0.308,0.487,0.314,0.362,0.353,0.179,91.1,38.3,8.7,49.7,26.1
"Rutschman, Adley",668939,2025,27,175,5,16,0,49,0.268,0.469,0.298,0.361,0.359,0.201,90.1,35.7,9.1,39.2,27
"Kwan, Steven",680757,2025,27,203,4,8.5,7,51,0.309,0.419,0.362,0.347,0.368,0.11,86.7,40.5,2.2,23.2,26.6
"Duran, Jarren",680776,2025,28,233,4,21.7,12,53,0.279,0.423,0.332,0.335,0.333,0.145,92.7,33.9,7.8,48.3,29.1
"Stott, Bryson",681082,2025,27,179,4,18.3,10,46,0.26,0.399,0.307,0.314,0.319,0.139,86.8,40,5.5,27.6,28.1
"De La Cruz, Elly",682829,2025,23,211,9,28.9,17,53,0.243,0.438,0.324,0.326,0.317,0.195,91.1,28.5,12.5,45.8,28.9
"Abrams, CJ",682928,2025,24,160,8,18.6,9,39,0.294,0.504,0.381,0.369,0.353,0.21,90.3,39.5,10.1,44.2,28.2
"Greene, Riley",682985,2025,24,200,12,29.8,1,51,0.248,0.489,0.359,0.341,0.31,0.241,90.7,35.6,16.3,48.9,26.8
"Henderson, Gunnar",683002,2025,24,181,7,28.4,5,44,0.263,0.416,0.34,0.321,0.323,0.153,94.6,28,9.6,57.6,28.5
"Winn, Masyn",691026,2025,23,149,6,23.3,2,41,0.252,0.382,0.34,0.319,0.336,0.131,89,35.7,7.1,38.4,28.5
"Caminero, Junior",691406,2025,21,185,9,19.8,3,47,0.261,0.444,0.306,0.319,0.295,0.183,91.2,22.8,8.7,49,26.7
"Langford, Wyatt",694671,2025,23,164,9,24.1,10,43,0.259,0.507,0.34,0.367,0.343,0.248,91.4,33.1,14,48.8,28.9
"Wood, James",695578,2025,22,201,13,26.2,7,52,0.273,0.566,0.396,0.395,0.369,0.293,93.7,29.1,17,58.2,28
